"obs","paper_id","paper_obs_count","i_report","la","la_type","la_aggmean","la_indmean","la_indmedian","both_stats","se","se_imp","se_type","se_calc","se_calc_method","main_citation","main_title","main_lastnames","main_firstnames","main_yearpub","main_published","main_journal","main_affliations","pub_econtopfive","pub_regular","pub_unpub","pub_type_1","pub_type_2","journal_if","journal_if_std","data_type","type_lab_exp","type_field_exp","type_class_exp","type_online_exp","type_gameshow","type_field_other","location","loc_lab","loc_field","loc_online","loc_class","subject","subject_children","subject_uni","subject_elderly","subject_gen","subject_farmer","subject_mixed","subject_unknown","subject_monkey","reward","reward_type","reward_real","reward_money","reward_food","reward_cons_good","reward_env_good","reward_health","reward_other","reward_mixed","method","method_question","method_seqbin","method_mpl","method_matching","method_bdm","method_gp","method_other","method_other_type","computer","spec_u","spec_u_fine","spec_u_est","spec_u_crra","spec_u_crra_eq","spec_u_crra_noneq","spec_u_cara","spec_u_linear","spec_u_other","spec_nonparametric","spec_rp","spec_rp_statusquo","spec_rp_expectation","spec_rp_zero","spec_rp_other","la_def","loss_tversky_kahneman","loss_koebberling_wakker","loss_neilson","loss_wakker_tversky","loss_bowman","loss_koszegi_rabin","loss_other","loc_country","loc_state","loc_city","continent","continent_africa","continent_europe","continent_s_america","continent_asia","continent_oceania","continent_n_america","continent_multiple","journal_category","journal_cat_1","journal_cat_2","cat_econ","cat_psych","cat_neuro","cat_agri","cat_medical","cat_mgt","cat_transport","cat_multi"
11,4,5,11,23.46,"Aggregate",1,0,0,0,NA,361.85553,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
12,4,6,12,3.99,"Aggregate",1,0,0,0,NA,0.18009,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
13,4,7,13,0.04,"Aggregate",1,0,0,0,NA,0.02816,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
14,4,8,14,0.25,"Aggregate",1,0,0,0,NA,0.04563,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
15,5,1,15,3.357,"Aggregate",1,0,0,0,0.991,0.991,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","IN","Marion","North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
16,5,2,16,1.24,"Aggregate",1,0,0,0,0.25,0.25,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
17,5,3,17,2.33,"Aggregate",1,0,0,0,0.71,0.71,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
18,5,4,18,1.32,"Aggregate",1,0,0,0,0.11,0.11,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
19,5,5,19,2.37,"Aggregate",1,0,0,0,0.84,0.84,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
20,5,6,20,1.56,"Aggregate",1,0,0,0,0.4,0.4,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
21,5,7,21,1.69,"Aggregate",1,0,0,0,0.14,0.14,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
22,5,8,22,1.13,"Aggregate",1,0,0,0,0.1,0.1,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
23,5,9,23,1.43,"Aggregate",1,0,0,0,0.14,0.14,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
24,5,10,24,2.01,"Aggregate",1,0,0,0,0.39,0.39,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
25,5,11,25,1.69,"Aggregate",1,0,0,0,0.14,0.14,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
26,5,12,26,2.18,"Aggregate",1,0,0,0,0.16,0.16,"SE reported",0,NA,"Bell and Lattin (2000)","Looking for Loss Aversion in Scanner Panel Data: The Confounding Effect of Price Response Heterogeneity","Bell; Lattin","David R; James M",2000,1,"Marketing Science","University of Pennsylvania; Stanford University",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
27,6,1,27,1.43,"Aggregate",1,0,0,0,0.09,0.09,"SE reported",0,NA,"Schmidt and Traub (2002)","An Experimental Test of Loss Aversion","Schmidt; Traub","Ulrich; Stefan",2002,1,"Journal of Risk and Uncertainty","Christian-Albrechts-Unversitat Zu Kiel",0,1,0,"Published","Published",2.122,-0.210601155779087,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"MPL",0,0,1,0,0,0,0,NA,1,"Other parametric","Other parametric",1,0,0,0,0,0,1,0,"Zero",0,0,1,0,"Koebberling-Wakker",0,1,0,0,0,0,0,"Germany",NA,"Kiel","Europe",0,1,0,0,0,0,0,"Economics","Business & Economics","Business, Finance",1,0,0,0,0,0,0,0
28,7,1,28,2.71,"Aggregate",1,0,0,0,NA,0.07176,"SE imputed",0,NA,"Goeree and Offerman (2003)","Winner's Curse without Overbidding","Goeree; Offerman","Jacob K.; Theo",2003,1,"European Economic Review","University of Amsterdam",0,1,0,"Published","Published",1.711,-0.279208451301833,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,0,"Netherlands",NA,"Amsterdam","Europe",0,1,0,0,0,0,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
29,7,2,29,2.06,"Aggregate",1,0,0,0,NA,0.06911,"SE imputed",0,NA,"Goeree and Offerman (2003)","Winner's Curse without Overbidding","Goeree; Offerman","Jacob K.; Theo",2003,1,"European Economic Review","University of Amsterdam",0,1,0,"Published","Published",1.711,-0.279208451301833,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,0,"Netherlands",NA,"Amsterdam","Europe",0,1,0,0,0,0,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
30,7,3,30,2.22,"Aggregate",1,0,0,0,NA,0.16638,"SE imputed",0,NA,"Goeree and Offerman (2003)","Winner's Curse without Overbidding","Goeree; Offerman","Jacob K.; Theo",2003,1,"European Economic Review","University of Amsterdam",0,1,0,"Published","Published",1.711,-0.279208451301833,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,0,"Netherlands",NA,"Amsterdam","Europe",0,1,0,0,0,0,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
31,7,4,31,2.98,"Aggregate",1,0,0,0,NA,0.53351,"SE imputed",0,NA,"Goeree and Offerman (2003)","Winner's Curse without Overbidding","Goeree; Offerman","Jacob K.; Theo",2003,1,"European Economic Review","University of Amsterdam",0,1,0,"Published","Published",1.711,-0.279208451301833,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,0,"Netherlands",NA,"Amsterdam","Europe",0,1,0,0,0,0,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
32,8,1,32,2.5,"Aggregate",1,0,0,0,NA,0.15661,"SE imputed",0,NA,"Berkelaar et al. (2004)","Optimal Portfolio Choice under Loss Aversion","Berkelaar; Kouwenberg; Post","Arjan B.; Roy; Thierry",2004,1,"Review of Economics and Statistics","World Bank; Asian Institute of Technology; Eramus University Rotterdam",0,1,0,"Published","Published",3.636,0.042127421888644,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,0,"NA","NA",0,0,0,0,0,0,0,0,"Expectation",0,1,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Social Sciences, Mathematical Methods",1,0,0,0,0,0,0,0
